city,country,date,lat,lon,max_temp,humidity,cloudiness,wind_speed
São Gabriel da Cachoeira,BR,1631344798,-0.1303,-67.0892,22.12,99,100,0.79
Rikitea,PF,1631344799,-23.1203,-134.9692,23.34,74,100,5.36
Ilulissat,GL,1631344800,69.2167,-51.1,-4.99,39,0,1.54
Ushuaia,AR,1631344801,-54.8,-68.3,2.81,87,20,1.54
Bredasdorp,ZA,1631344803,-34.5322,20.0403,12.62,94,100,0.51
Bafoulabé,ML,1631344804,13.8065,-10.8321,22.95,95,19,1.78
Marsaxlokk,MT,1631344805,35.8419,14.5431,27.34,89,20,1.03
Aklavik,CA,1631344806,68.2191,-135.0107,8.46,75,28,3.41
Sola,VU,1631344807,-13.8833,167.55,25.15,83,50,8.86
Cape Town,ZA,1631344664,-33.9258,18.4232,13.95,82,75,6.17
Lompoc,US,1631344808,34.6391,-120.4579,17.82,94,90,0.0
Kingsville,US,1631344809,27.5159,-97.8561,28.79,80,1,0.45
New Norfolk,AU,1631344810,-42.7826,147.0587,14.72,59,32,2.24
Chapais,CA,1631344666,49.7834,-74.8492,5.88,73,100,1.61
Faanui,PF,1631344811,-16.4833,-151.75,25.08,64,95,4.65
East London,ZA,1631344812,-33.0153,27.9116,30.52,35,0,2.06
Atuona,PF,1631344813,-9.8,-139.0333,25.43,71,1,6.73
Porto Torres,IT,1631344814,40.835,8.3972,21.1,74,70,2.32
Charleston,US,1631344536,32.7766,-79.9309,21.68,94,40,0.0
Kapaa,US,1631344815,22.0752,-159.319,23.18,75,1,2.57
Soyo,AO,1631344816,-6.1349,12.3689,24.03,82,98,2.51
Tiksi,RU,1631344817,71.6872,128.8694,13.56,53,95,4.79
Conde,BR,1631344818,-7.2597,-34.9075,21.7,94,20,1.54
Chui,UY,1631344818,-33.6971,-53.4616,12.04,93,74,3.28
Mataura,NZ,1631344820,-46.1927,168.8643,8.04,95,100,0.46
Novi Pazar,RS,1631344821,43.1367,20.5122,20.94,46,76,0.43
Qixingtai,CN,1631344821,30.4135,111.8874,33.38,43,71,1.91
Lumberton,US,1631344822,34.6182,-79.0086,16.05,66,0,2.04
Cabedelo,BR,1631344825,-6.9811,-34.8339,22.37,72,100,6.89
Nelson Bay,AU,1631344711,-32.7167,152.15,26.27,54,0,0.45
Topeka,US,1631344826,39.0483,-95.678,23.77,69,1,1.54
Malbork,PL,1631344827,54.0359,19.0266,21.05,58,11,4.71
Thohoyandou,ZA,1631344828,-22.9456,30.485,16.79,58,14,2.45
Kargil,IN,1631344829,34.5667,76.1,16.79,38,69,3.28
Abhā,SA,1631344830,18.2164,42.5053,27.14,24,0,2.06
Mossamedes,AO,1631344831,-15.1961,12.1522,19.75,81,79,3.48
Quibor,VE,1631344831,9.9287,-69.6201,27.54,77,96,2.34
Husavik,IS,1631344832,66.0449,-17.3389,5.95,92,100,2.73
Dingle,PH,1631344833,10.9995,122.6711,29.67,76,100,3.59
